Puertas,Kilómetros,Precio_usd,Antigüedad,Cilindrada,Transmisión_Manual,vendedor_particular,combustible_Diésel,combustible_Nafta,combustible_Otros
5.0,640000.0,17295.783203685267,5.0,1.5,1.0,0.0,0.0,1.0,0.0
5.0,0.0,47246.933162344125,1.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,653000.0,28300.0,6.0,1.4,0.0,1.0,0.0,1.0,0.0
5.0,768980.0,16949.86753961156,8.0,1.5,1.0,0.0,0.0,1.0,0.0
5.0,1090000.0,23000.0,4.0,2.4,0.0,1.0,0.0,1.0,0.0
5.0,0.0,39700.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0
5.0,1700000.0,11000.0,18.0,2.4,0.0,0.0,0.0,1.0,0.0
5.0,1490000.0,18561.328316150044,12.0,2.4,0.0,1.0,0.0,0.0,1.0
5.0,980000.0,26000.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,1330000.0,45000.0,12.0,3.6,0.0,0.0,0.0,1.0,0.0
5.0,570000.0,23000.0,4.0,1.8,1.0,0.0,0.0,1.0,0.0
5.0,0.0,27757.622800060748,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,0.0,21725.19109731198,0.0,1.3,0.0,0.0,0.0,1.0,0.0
5.0,0.0,27757.622800060748,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,740000.0,12571.081450483438,10.0,1.8,1.0,0.0,0.0,1.0,0.0
5.0,0.0,23032.92104685892,1.0,1.2,0.0,0.0,0.0,1.0,0.0
5.0,0.0,28643.50437878609,0.0,1.2,0.0,0.0,0.0,1.0,0.0
5.0,980000.0,19405.025057793227,5.0,1.5,1.0,0.0,0.0,1.0,0.0
5.0,1100000.0,12824.190472976394,7.0,1.2,0.0,0.0,0.0,1.0,0.0
3.0,800000.0,49500.0,10.0,3.6,0.0,0.0,0.0,1.0,0.0
5.0,900000.0,18561.328316150044,7.0,1.5,0.0,1.0,0.0,1.0,0.0
5.0,1300000.0,25300.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,785230.0,15102.17167541299,8.0,1.2,0.0,0.0,0.0,1.0,0.0
5.0,1650000.0,26900.0,8.0,2.0,0.0,1.0,0.0,1.0,0.0
5.0,1500000.0,12571.081450483438,11.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,850000.0,36194.59021649259,5.0,2.0,0.0,0.0,1.0,0.0,0.0
5.0,2230000.0,15500.0,13.0,2.0,0.0,1.0,0.0,1.0,0.0
5.0,0.0,32904.17292408417,0.0,1.4,0.0,0.0,0.0,1.0,0.0
5.0,0.0,74900.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
5.0,1010000.0,17295.783203685267,6.0,1.6,0.0,0.0,0.0,1.0,0.0
5.0,10000.0,27922.143664681167,1.0,1.2,0.0,0.0,0.0,1.0,0.0
5.0,0.0,22779.727654691796,0.0,1.2,0.0,0.0,0.0,1.0,0.0
5.0,800000.0,21514.266911901188,2.0,1.6,1.0,1.0,0.0,1.0,0.0
5.0,196000.0,27200.0,2.0,1.6,0.0,1.0,0.0,1.0,0.0
5.0,672000.0,27167.03508091052,8.0,1.4,0.0,1.0,0.0,1.0,0.0
5.0,136000.0,31301.149114962118,1.0,1.4,0.0,1.0,0.0,1.0,0.0
5.0,150000.0,159900.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0
5.0,1030000.0,21936.115282722778,8.0,1.8,0.0,1.0,0.0,1.0,0.0
5.0,1517000.0,19236.28570946459,11.0,2.2,0.0,1.0,1.0,0.0,0.0
5.0,1400000.0,12233.602753826164,10.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,800000.0,23000.0,4.0,1.2,0.0,0.0,0.0,1.0,0.0
5.0,1020000.0,15000.0,8.0,1.6,1.0,1.0,0.0,1.0,0.0
5.0,1200000.0,10883.687967197071,12.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,0.0,33663.49999156303,0.0,1.3,0.0,0.0,0.0,1.0,0.0
5.0,2700000.0,9000.0,28.0,1.6,1.0,1.0,0.0,1.0,0.0
5.0,2000000.0,9280.664158075022,18.0,2.5,0.0,1.0,1.0,0.0,0.0
5.0,600000.0,22695.442350201643,7.0,1.6,0.0,1.0,0.0,1.0,0.0
5.0,1040000.0,27500.0,7.0,2.0,1.0,1.0,0.0,1.0,0.0
5.0,820000.0,19000.0,13.0,2.0,1.0,0.0,0.0,1.0,0.0
5.0,2040000.0,14500.0,14.0,2.4,0.0,1.0,0.0,1.0,0.0
5.0,11110.0,24973.42355263824,1.0,1.6,0.0,1.0,0.0,1.0,0.0
5.0,1140000.0,25310.902249295512,5.0,2.4,1.0,0.0,0.0,1.0,0.0
5.0,722610.0,22581.543290079815,4.0,1.2,0.0,0.0,0.0,1.0,0.0
5.0,1400000.0,25800.0,12.0,2.5,0.0,0.0,0.0,1.0,0.0
5.0,0.0,21218.230599193426,0.0,1.3,1.0,0.0,0.0,1.0,0.0
5.0,590000.0,28348.210519210974,5.0,2.5,0.0,0.0,0.0,0.0,1.0
5.0,1420000.0,13920.996237112533,11.0,2.0,1.0,0.0,0.0,1.0,0.0
5.0,350000.0,25000.0,2.0,1.6,0.0,1.0,0.0,1.0,0.0
5.0,0.0,44040.96991377419,0.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,970000.0,19396.588090376794,4.0,1.8,1.0,0.0,0.0,1.0,0.0
5.0,990000.0,38500.0,7.0,2.0,1.0,0.0,0.0,1.0,0.0
5.0,1200000.0,23623.508766009145,5.0,1.6,0.0,0.0,0.0,1.0,0.0
5.0,475000.0,20670.570170258,3.0,1.3,1.0,0.0,0.0,1.0,0.0
5.0,1150000.0,22357.96365354437,6.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,0.0,44715.083610347094,0.0,1.8,0.0,0.0,0.0,0.0,1.0
5.0,1000000.0,24900.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,720000.0,29990.0,6.0,2.0,1.0,0.0,0.0,1.0,0.0
5.0,240000.0,22500.0,3.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,1500000.0,9955.62155138957,27.0,2.8,1.0,0.0,1.0,0.0,0.0
5.0,870000.0,13667.887214619577,12.0,2.5,0.0,0.0,0.0,1.0,0.0
5.0,0.0,59818.09898250173,0.0,1.6,0.0,0.0,0.0,1.0,0.0
5.0,980000.0,17717.63157450686,9.0,1.8,0.0,0.0,0.0,1.0,0.0
5.0,320000.0,48000.0,3.0,2.8,0.0,0.0,1.0,0.0,0.0
5.0,770000.0,14600.0,8.0,1.2,0.0,0.0,0.0,1.0,0.0
5.0,200000.0,110000.0,1.0,3.6,0.0,1.0,0.0,1.0,0.0
5.0,0.0,37375.76565479304,0.0,1.4,0.0,0.0,0.0,1.0,0.0
5.0,540000.0,15900.0,8.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,0.0,29655.940468757908,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,840000.0,24000.0,8.0,1.8,0.0,1.0,0.0,1.0,0.0
5.0,200000.0,39822.48620555828,1.0,1.8,0.0,0.0,0.0,0.0,1.0
5.0,1710000.0,9280.664158075022,17.0,2.7,0.0,1.0,0.0,1.0,0.0
5.0,1050000.0,15178.104382160876,9.0,1.6,1.0,1.0,0.0,1.0,0.0
5.0,1130000.0,21000.0,9.0,1.8,0.0,1.0,0.0,1.0,0.0
5.0,160000.0,89900.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
5.0,1800000.0,18561.328316150044,13.0,2.0,1.0,0.0,0.0,1.0,0.0
5.0,890000.0,21900.0,14.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,0.0,32473.887585846143,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,0.0,28263.840845046656,1.0,1.3,0.0,0.0,0.0,1.0,0.0
5.0,769460.0,17886.370922835496,3.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,2500000.0,15000.0,15.0,2.0,0.0,1.0,0.0,1.0,0.0
5.0,740000.0,16242.849670114574,7.0,1.5,1.0,0.0,0.0,1.0,0.0
5.0,680000.0,13499.147866290941,8.0,1.6,1.0,1.0,0.0,1.0,0.0
5.0,160000.0,37038.286958135766,1.0,1.8,0.0,0.0,0.0,0.0,1.0
5.0,450000.0,26998.295732581882,4.0,1.6,0.0,1.0,0.0,1.0,0.0
5.0,470000.0,33500.0,8.0,2.0,1.0,0.0,0.0,1.0,0.0
3.0,850000.0,58000.0,9.0,3.6,1.0,1.0,0.0,1.0,0.0
5.0,0.0,26154.60489681589,0.0,1.2,0.0,0.0,0.0,1.0,0.0
5.0,2050000.0,12739.820798812076,10.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,1690000.0,14900.0,13.0,2.0,0.0,1.0,0.0,1.0,0.0
5.0,380000.0,22611.072676037325,5.0,1.2,0.0,0.0,0.0,1.0,0.0
5.0,830650.0,79000.0,8.0,3.0,0.0,1.0,0.0,1.0,0.0
5.0,0.0,37291.395980628724,0.0,1.4,0.0,0.0,0.0,1.0,0.0
5.0,970000.0,14500.0,11.0,1.8,0.0,1.0,0.0,1.0,0.0
5.0,0.0,30673.43958287633,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,1750970.0,23201.660395187555,12.0,2.5,0.0,0.0,0.0,1.0,0.0
5.0,690000.0,18000.0,7.0,1.6,1.0,1.0,0.0,1.0,0.0
5.0,1270000.0,17717.63157450686,12.0,2.0,0.0,0.0,0.0,1.0,0.0
