Puertas,Kilómetros,Antigüedad,Cilindrada,Transmisión_Manual,vendedor_particular,squared_error,Marca,Modelo,combustible
5.0,1220000.0,-434669.0,1.8,1.0,1.0,266341848178.79166,Jeep,Renegade,Nafta
5.0,0.0,1.0,4.4,0.0,0.0,254360191015.55566,Marca_Otros,Range Rover Sport,Nafta
5.0,0.0,1.0,1.0,0.0,0.0,70498226360.65584,Volkswagen,Nivus,Nafta
5.0,140000.0,3.0,4.0,0.0,0.0,64093363748.263916,Marca_Otros,Cayenne,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,27736633302.660156,Marca_Otros,Cayenne,Otros
5.0,119720.0,1.0,3.0,0.0,0.0,27114626547.303772,BMW,X5,Nafta
4.0,570000.0,3.0,3.0,0.0,0.0,22143276788.09204,Marca_Otros,Macan,Nafta
5.0,0.0,0.0,3.3,0.0,0.0,22081333098.199463,Toyota,Land Cruiser,Diésel
5.0,0.0,0.0,4.4,0.0,0.0,21581441698.24243,BMW,X6,Nafta
5.0,0.0,0.0,4.4,0.0,0.0,20422191823.24243,BMW,X6,Nafta
5.0,0.0,1.0,3.0,0.0,0.0,19753793009.535156,Marca_Otros,Stelvio,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,14769263660.988525,Marca_Otros,Macan,Nafta
5.0,0.0,1.0,3.0,0.0,0.0,11437331615.134338,Marca_Otros,Cayenne,Nafta
5.0,0.0,1.0,3.0,0.0,0.0,10822712291.070557,Mercedes-Benz,Clase GLE,Otros
5.0,190000.0,8.0,3.0,1.0,0.0,10270592084.504944,Marca_Otros,Macan,Diésel
5.0,0.0,0.0,3.0,0.0,0.0,9957389238.891602,BMW,X6,Otros
5.0,0.0,0.0,3.0,0.0,0.0,9957389238.891602,BMW,X6,Otros
5.0,15000.0,2.0,3.0,0.0,0.0,9903112386.552795,Mercedes-Benz,Clase GLE,Otros
5.0,0.0,0.0,3.0,0.0,0.0,8783939223.388916,BMW,X5,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,8665419379.054932,BMW,X6,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,8665419379.054932,BMW,X6,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,8480242910.304932,BMW,X6,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,8480242910.304932,BMW,X6,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,8413048535.888916,BMW,X5,Nafta
5.0,360000.0,6.0,3.0,0.0,1.0,7935320169.546448,Marca_Otros,Macan,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,7926607992.25,Mercedes-Benz,Clase GLE,Otros
5.0,0.0,0.0,3.0,0.0,0.0,7818300872.586914,BMW,X5,Otros
5.0,0.0,1.0,3.0,0.0,0.0,6583671708.154541,Audi,Q8,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,6422269338.378906,Audi,Q8,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,6291845828.836914,BMW,X5,Otros
5.0,310000.0,4.0,2.0,0.0,1.0,6158187681.436539,BMW,X3,Nafta
3.0,0.0,0.0,2.0,0.0,0.0,5886743008.020645,Jeep,Wrangler,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,5797156838.378906,Audi,Q8,Nafta
5.0,390000.0,7.0,3.0,0.0,0.0,5581359972.25,BMW,X6,Nafta
5.0,390000.0,7.0,3.0,0.0,0.0,5581359972.25,BMW,X6,Nafta
5.0,0.0,1.0,3.6,0.0,0.0,5556551693.954102,Jeep,Grand Cherokee,Nafta
5.0,230000.0,3.0,3.0,0.0,0.0,5545948458.765625,BMW,X6,Nafta
5.0,230000.0,3.0,3.0,0.0,0.0,5545948458.765625,BMW,X6,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,5441445807.899414,Audi,Q7,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,5441445807.899414,Audi,Q7,Nafta
4.0,0.0,0.0,2.0,0.0,0.0,5146794060.564713,Jeep,Wrangler,Nafta
5.0,35000.0,0.0,3.0,0.0,0.0,5028207048.615784,BMW,X6,Otros
5.0,35000.0,0.0,3.0,0.0,0.0,5028207048.615784,BMW,X6,Otros
5.0,670000.0,5.0,3.0,0.0,1.0,4945080399.101807,BMW,X5,Nafta
